"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgRNA","direction"
19374.2967676239,-17.5871691977619,4.23559824696852,-4.15222789610638,3.29254130639641e-05,0.000343827158781553,"EXO1_CRISPRa_3_CtIP_CasRx_1","depleted"
27295.134231115,-18.0445033365345,4.30447517214761,-4.19203331762549,2.76465381634864e-05,0.000343827158781553,"DNA-PKcs_CRISPRa_3_CtIP_CasRx_1","depleted"
18314.9228481704,17.9185144071362,4.23747161165223,4.22858630081762,2.35164310147993e-05,0.000343827158781553,"LIG4_CRISPRa_3_CtIP_CasRx_1","enriched"
7193.90837851576,-16.0803506637641,4.45890291747846,-3.60634688876734,0.000310537949877305,0.00167383367488811,"MRE11_CRISPRa_4_CtIP_CasRx_3","depleted"
11454.8470192218,16.9479838750105,4.33323984507727,3.91115758207202,9.18548143800646e-05,0.000672459499304802,"DNA-PKcs_CRISPRa_1_CtIP_CasRx_3","enriched"
19291.94791419,17.6610769507671,4.23672006330298,4.16857302037519,3.06512567753125e-05,0.000343827158781553,"BRCA1_CRISPRa_2_CtIP_CasRx_5","enriched"
6322.57616508255,16.264892282295,4.48220520507415,3.62877011161428,0.000284774687733269,0.00156069256238177,"RAD50_CRISPRa_2_CtIP_CasRx_5","enriched"
6353.56148884913,-14.7839820666836,4.50495278172044,-3.28171743035176,0.00103176943154752,0.00488968991472521,"XLF_CRISPRa_5_CtIP_CasRx_5","depleted"
26800.5979347508,18.4949599516491,4.29949534485568,4.30165832689601,1.6952457699311e-05,0.000343827158781553,"53BP1_CRISPRa_3_CtIP_CasRx_5","enriched"
19945.0646668426,-17.6098962045261,4.23703404447134,-4.1561847319835,3.23606199771464e-05,0.000343827158781553,"XLF_CRISPRa_4_ATM_CasRx_2","depleted"
9749.17083771991,-16.5304315996252,4.3786360426842,-3.77524677513312,0.000159849336394668,0.00101826103248811,"BRCA2_CRISPRa_5_ATM_CasRx_3","depleted"
28359.8457753179,-18.129614624786,4.31123913878612,-4.20519809761484,2.60853578413812e-05,0.000343827158781553,"XLF_CRISPRa_1_ATM_CasRx_3","depleted"
10875.310848959,-16.7685535689622,4.34658315174469,-3.85787018988269,0.000114379363913233,0.00078465843355861,"EXO1_CRISPRa_4_ATM_CasRx_4","depleted"
22683.1982414247,-17.4438166793093,4.25886920715436,-4.09587987581442,4.20567976158544e-05,0.000382014807227162,"XLF_CRISPRa_3_ATM_CasRx_5","depleted"
13487.7075656979,-17.0543640371344,4.2888227447053,-3.97646744859963,6.99465683297398e-05,0.000556298480805851,"POLQ_CRISPRa_3_RAD51_CasRx_1","depleted"
8104.73699035641,16.6749531029035,4.42970243202218,3.76435062146857,0.000166982451356548,0.00105006272295368,"MRE11_CRISPRa_2_RAD51_CasRx_1","enriched"
6654.81566383352,16.4735437072375,4.47134966070415,3.68424412253261,0.000229382321430107,0.00133150329776884,"KU70_CRISPRa_1_RAD51_CasRx_1","enriched"
9977.81211372412,-16.1677546314328,4.37544832943381,-3.69510811558938,0.000219793241378926,0.00129112077720195,"BRCA1_CRISPRa_4_RAD51_CasRx_2","depleted"
44473.2528360271,-18.5638879214664,4.01336040017999,-4.6255222732137,3.73655647561023e-06,0.000264727676766164,"BRCA2_CRISPRa_1_RAD51_CasRx_4","depleted"
7070.31061188306,-15.6510931040306,4.46398562369238,-3.50608053506338,0.000454757599761684,0.00234798529140112,"POLD3_CRISPRa_2_RAD51_CasRx_4","depleted"
13986.8904333868,17.5024768454854,4.28115732115348,4.08825827516417,4.3462411003165e-05,0.000384113740487431,"PALB2_CRISPRa_1_RAD51_CasRx_4","enriched"
11271.0777546359,16.2664772880936,4.34690657045919,3.74208118449974,0.000182502532050679,0.00112600618831268,"CtIP_CRISPRa_3_RAD51_CasRx_5","enriched"
14127.0001041307,-16.8801840872478,4.27865959101614,-3.9452038023055,7.97321353606966e-05,0.000607485414292166,"KU70_CRISPRa_1_RAD51_CasRx_5","depleted"
18065.7712824171,17.8971510783283,4.23830926477223,4.22271003843089,2.41382276845317e-05,0.000343827158781553,"XLF_CRISPRa_4_RAD51_CasRx_5","enriched"
17585.4721868642,-17.3938177080255,4.23997139830709,-4.1023431702795,4.08987066157581e-05,0.000379725678757608,"LIG3_CRISPRa_3_RAD51_CasRx_5","depleted"
12152.5696037087,-15.8500709638928,4.3302225942748,-3.66033630346138,0.000251884432238284,0.0014366199303823,"NT_CRISPRa_5_RAD51_CasRx_5","depleted"
4797.8161970718,-15.0826860607174,4.51038244309477,-3.34399272146165,0.000825819040194297,0.00407099737904827,"ATM_CRISPRa_1_BRCA1_CasRx_1","depleted"
11215.7706497973,-16.812914797201,4.33768859335068,-3.87600779432941,0.000106184283966441,0.000749401313461,"POLD3_CRISPRa_2_BRCA1_CasRx_1","depleted"
23736.7149415239,18.1935248701019,4.26503954918059,4.26573415329696,1.99245920763195e-05,0.000343827158781553,"EXO1_CRISPRa_2_BRCA1_CasRx_1","enriched"
25254.6200839426,18.1887929058099,4.28674620548167,4.24303003582321,2.20521907345501e-05,0.000343827158781553,"XRCC4_CRISPRa_4_BRCA1_CasRx_1","enriched"
59519.7317122924,-18.8382342376555,3.61628846190541,-5.20927310863074,1.89581883197867e-07,6.19932758057026e-05,"XLF_CRISPRa_1_BRCA1_CasRx_1","depleted"
24116.448182444,18.3293439526793,4.26886250308241,4.2937302242563,1.75695944630393e-05,0.000343827158781553,"NT_CRISPRa_3_BRCA1_CasRx_1","enriched"
19993.9574724395,-17.4352448828778,4.23898169220235,-4.11307388162353,3.90425365426753e-05,0.000373186247778863,"PALB2_CRISPRa_1_BRCA1_CasRx_3","depleted"
10847.0952155918,-16.220637106539,4.35185393760762,-3.72729354870217,0.000193546986534584,0.00117931424714551,"XRCC4_CRISPRa_1_BRCA1_CasRx_5","depleted"
8876.3758561142,-14.8024507358612,4.46319779577537,-3.3165571890792,0.000911339334204151,0.00442586082601125,"XRCC4_CRISPRa_4_BRCA1_CasRx_5","depleted"
22166.251150817,18.2252960770392,4.24843744656032,4.28988217580913,1.78767934938715e-05,0.000343827158781553,"53BP1_CRISPRa_3_BRCA1_CasRx_5","enriched"
19561.782564026,-16.9041119504097,4.24940579046558,-3.97799428530398,6.94990417008586e-05,0.000556298480805851,"ATM_CRISPRa_5_BRCA2_CasRx_1","depleted"
6905.24229959223,-14.3996164729637,4.5227676156855,-3.18380639832656,0.00145352192085411,0.00666310749699943,"LIG3_CRISPRa_4_BRCA2_CasRx_1","depleted"
18046.8699224426,17.8824132234466,4.23777208205719,4.21976757531655,2.44554312610693e-05,0.000343827158781553,"BRCA1_CRISPRa_5_BRCA2_CasRx_3","enriched"
13968.1564898228,-17.0143606805313,4.28011565838196,-3.97521049395272,7.0317035290444e-05,0.000556298480805851,"NT_CRISPRa_2_BRCA2_CasRx_3","depleted"
10640.9814172535,-16.5457232139886,4.35360990833196,-3.80046066652028,0.00014442734280306,0.000944554821932013,"RAD50_CRISPRa_3_BRCA2_CasRx_5","depleted"
22097.2880911317,-17.7762757705241,4.24821198745651,-4.18441354221759,2.85903231458425e-05,0.000343827158781553,"EXO1_CRISPRa_5_POLQ_CasRx_1","depleted"
39773.5178899621,19.0209783434196,4.14791752468807,4.58566937028239,4.5253425063024e-06,0.000271150075421975,"NBN_CRISPRa_4_POLQ_CasRx_1","enriched"
12031.5724497927,-16.8711874317044,4.31870327218045,-3.90654008122823,9.36271188020933e-05,0.000680357063295212,"XRCC4_CRISPRa_2_POLQ_CasRx_1","depleted"
30609.4745309006,18.5334940940676,4.31847890102993,4.29167179435506,1.77332927161005e-05,0.000343827158781553,"CtIP_CRISPRa_1_POLQ_CasRx_2","enriched"
18081.578477784,-17.4613941566663,4.23768367484697,-4.12050438316326,3.78043874557942e-05,0.000369649228427976,"CtIP_CRISPRa_1_POLQ_CasRx_3","depleted"
40228.7168566374,19.0249352078587,4.13471925798552,4.60126408125902,4.19934608422244e-06,0.000271150075421975,"ATM_CRISPRa_4_POLQ_CasRx_4","enriched"
13170.1880300229,-16.8920867746761,4.29471939688662,-3.93322245614503,8.3814603219667e-05,0.000632477890449948,"PALB2_CRISPRa_5_POLD3_CasRx_1","depleted"
15585.7394432609,17.7177757638343,4.25739908996352,4.16164315100329,3.15965831119315e-05,0.000343827158781553,"LIG3_CRISPRa_1_POLD3_CasRx_1","enriched"
11149.30590825,-15.9357296004432,4.36943141424549,-3.64709457356133,0.000265222325429161,0.00146996102398874,"NBN_CRISPRa_4_POLD3_CasRx_2","depleted"
13022.10695321,16.2318639396879,4.31559517738594,3.76121097380592,0.000169092730532469,0.0010565603098876,"53BP1_CRISPRa_5_POLD3_CasRx_2","enriched"
26361.3640634549,-15.5809501061065,4.35793283706116,-3.57530753425142,0.000349816445831019,0.00184499964172167,"NT_CRISPRa_5_POLD3_CasRx_2","depleted"
21701.8104332805,-17.458235681093,4.24605677771353,-4.11163500514804,3.92867038381641e-05,0.000373186247778863,"POLQ_CRISPRa_5_POLD3_CasRx_3","depleted"
15660.8362362001,-16.8686957050005,4.26253055256806,-3.95743690208567,7.57582903093962e-05,0.000594551062348141,"DNA-PKcs_CRISPRa_5_POLD3_CasRx_3","depleted"
30864.6209642407,18.708834916291,4.31493907951635,4.33582828668534,1.45212272689047e-05,0.000343827158781553,"ATM_CRISPRa_5_POLD3_CasRx_4","enriched"
7787.22201840013,-14.8092064852772,4.49574662639671,-3.29404828962672,0.000987555309974319,0.00472581345895028,"POLQ_CRISPRa_4_POLD3_CasRx_4","depleted"
6578.72651490165,-14.6301531964535,4.5217002995516,-3.23554243475719,0.00121411837208696,0.00561816095762882,"MRE11_CRISPRa_5_POLD3_CasRx_4","depleted"
16694.9236260831,17.7762124806241,4.24673177747476,4.18585712780628,2.84092009780045e-05,0.000343827158781553,"PALB2_CRISPRa_1_POLD3_CasRx_4","enriched"
8172.87957496494,16.4730853456199,4.42916921437452,3.7192269132906,0.000199833470310305,0.00121010268132351,"BRCA2_CRISPRa_5_POLD3_CasRx_5","enriched"
19854.9579120074,-15.8230341924016,4.28903460912814,-3.68918314595228,0.000224975226890771,0.00131369462845147,"BRCA1_CRISPRa_5_EXO1_CasRx_1","depleted"
5587.70843896232,-13.9605932538175,4.55163632449002,-3.06715920573502,0.00216103724245082,0.00976948172739288,"POLD3_CRISPRa_3_EXO1_CasRx_1","depleted"
33830.8286507646,-18.2480239673384,4.29270982287783,-4.25093349428986,2.12881379057623e-05,0.000343827158781553,"PALB2_CRISPRa_5_EXO1_CasRx_1","depleted"
13219.3807373627,17.1948725794155,4.29453277171411,4.0038983268842,6.23071514698345e-05,0.00051799419993142,"POLQ_CRISPRa_2_EXO1_CasRx_2","enriched"
10129.9596591744,-15.9568440726577,4.37437292919919,-3.64780148627585,0.000264493865356618,0.00146996102398874,"BRCA2_CRISPRa_3_EXO1_CasRx_3","depleted"
11730.2775891503,17.3093494193485,4.32536183514932,4.00182691738919,6.28552727607766e-05,0.000518159853599343,"XRCC1_CRISPRa_4_EXO1_CasRx_3","enriched"
5623.06386388846,-14.857120824043,4.50608624178443,-3.29712305243396,0.000976806950717583,0.00469729224830367,"CtIP_CRISPRa_3_EXO1_CasRx_4","depleted"
28236.9022251463,18.4930578156449,4.312083873106,4.28865911699541,1.79755002994196e-05,0.000343827158781553,"ATM_CRISPRa_4_EXO1_CasRx_4","enriched"
44822.0841122661,19.2395970033309,4.00064755626753,4.80912070676898,1.51595648922556e-06,0.000148715331593028,"PALB2_CRISPRa_5_EXO1_CasRx_4","enriched"
5204.38883486209,-15.6082421324127,4.5012795074433,-3.46751231657643,0.000525299668602086,0.00268395299426378,"DNA-PKcs_CRISPRa_5_EXO1_CasRx_4","depleted"
22275.5780310983,-17.7837708041442,4.24981019563884,-4.18460354356388,2.85664216932206e-05,0.000343827158781553,"XLF_CRISPRa_2_EXO1_CasRx_4","depleted"
2759.99333007245,14.7563644661148,4.48446563817915,3.29055135142176,0.000999912494941173,0.00476171921134607,"XLF_CRISPRa_4_EXO1_CasRx_4","enriched"
5115.19863996106,16.1160359309325,4.50262250508524,3.57925540343013,0.000344574586767304,0.00182717659253365,"XLF_CRISPRa_5_EXO1_CasRx_4","enriched"
14428.6184964324,17.5592826046377,4.27231428160055,4.11001659692026,3.95630680621832e-05,0.000373186247778863,"XRCC1_CRISPRa_2_EXO1_CasRx_5","enriched"
30303.3688187866,18.6553844803677,4.31679399157998,4.32158322050009,1.54913601339808e-05,0.000343827158781553,"NT_CRISPRa_3_MRE11_CasRx_1","enriched"
22872.9385079669,18.2670154233175,4.25520186592844,4.29286694236111,1.76380715634168e-05,0.000343827158781553,"BRCA1_CRISPRa_1_MRE11_CasRx_2","enriched"
19932.7925163705,18.0314685522001,4.23631247259999,4.25640664347251,2.07738721415582e-05,0.000343827158781553,"XRCC1_CRISPRa_4_MRE11_CasRx_2","enriched"
30136.8497504944,18.4649326357342,4.3196864897265,4.27460017750114,1.91480597227988e-05,0.000343827158781553,"NT_CRISPRa_5_MRE11_CasRx_2","enriched"
9236.00745793061,-16.4480381899569,4.39427221129984,-3.74306310557203,0.000181790550321981,0.00112600618831268,"POLQ_CRISPRa_5_MRE11_CasRx_3","depleted"
25410.6572552423,18.1026258565043,4.2903750326805,4.2193574497832,2.44999572677028e-05,0.000343827158781553,"NBN_CRISPRa_4_MRE11_CasRx_3","enriched"
14648.2538907792,16.4512760423357,4.32527679021834,3.80351983011595,0.000142654568375327,0.000939222359571783,"LIG3_CRISPRa_2_MRE11_CasRx_3","enriched"
4238.63837250796,-14.684765230013,4.51916655654335,-3.24944102995071,0.00115632050050254,0.00540166862377615,"NT_CRISPRa_2_MRE11_CasRx_3","depleted"
31883.1602291557,18.5922540051448,4.31326594143341,4.31048172257287,1.62899293335973e-05,0.000343827158781553,"XRCC1_CRISPRa_5_MRE11_CasRx_4","enriched"
23083.7615670475,-17.7067583736398,4.25923433749707,-4.15726324747023,3.22082779186843e-05,0.000343827158781553,"RAD51_CRISPRa_1_MRE11_CasRx_5","depleted"
20070.1021953152,-17.6220254109534,4.23728984055496,-4.1587963236061,3.19929006528752e-05,0.000343827158781553,"BRCA1_CRISPRa_1_MRE11_CasRx_5","depleted"
16522.252328483,17.7816037077042,4.24727993601919,4.1865862329692,2.83181375484578e-05,0.000343827158781553,"BRCA1_CRISPRa_4_MRE11_CasRx_5","enriched"
