"","DDR1","DDR2","DDR3","DDR4"
"NT_CRISPRa_4_CtIP_CasRx_5",0,64.4790715444296,41273.4771811133,0
"CtIP_CRISPRa_3_ATM_CasRx_1",34788.7022921069,0,0,37418.0254425471
"BRCA2_CRISPRa_4_ATM_CasRx_1",42478.9489418989,71653.2806934391,0,0
"EXO1_CRISPRa_5_ATM_CasRx_1",32846.2302916542,44491.775951912,0,0
"RAD50_CRISPRa_5_ATM_CasRx_1",68219.6166558973,46626.8848304115,0,0
"XRCC1_CRISPRa_3_ATM_CasRx_1",0,0,31104.9084202938,82633.7438306699
"KU70_CRISPRa_3_ATM_CasRx_1",67126.0049196425,53455.5834828433,0,0
"DNA-PKcs_CRISPRa_1_ATM_CasRx_1",31872.0805834272,35373.4619665252,0,0
"DNA-PKcs_CRISPRa_3_ATM_CasRx_1",43528.8550581436,0,0,92222.6613493377
"XRCC4_CRISPRa_4_ATM_CasRx_1",56782.3415172321,24497.180841861,0,0
"XLF_CRISPRa_5_ATM_CasRx_1",39173.8328331287,28643.3068007934,0,9280.37238849101
"BRCA1_CRISPRa_4_ATM_CasRx_2",38646.4516850058,0,45.3070839044982,0
"POLQ_CRISPRa_1_ATM_CasRx_2",0,89546.8313401461,165808.612019848,0
"POLQ_CRISPRa_4_ATM_CasRx_2",49110.5483514443,0,1075.88371074625,5137.18403866201
"XLF_CRISPRa_2_ATM_CasRx_2",0,37318.7833891581,105140.512287898,0
"XLF_CRISPRa_4_ATM_CasRx_2",28899.1271867344,0,50881.1314806362,0
"LIG4_CRISPRa_2_ATM_CasRx_2",25031.6654338332,69341.7668078841,74264.0536709535,0
"LIG4_CRISPRa_5_ATM_CasRx_2",33741.7098838629,72829.719602561,0,0
"BRCA2_CRISPRa_5_ATM_CasRx_3",25996.1027820579,0,13000.5805688217,0
"RAD50_CRISPRa_1_ATM_CasRx_3",33716.457747857,0,70.1940736548564,0
"XRCC1_CRISPRa_3_ATM_CasRx_3",0,0,158213.613250392,3151.96402444071
"KU70_CRISPRa_1_ATM_CasRx_3",0,0,4362.24261367817,11078.0634762875
"DNA-PKcs_CRISPRa_1_ATM_CasRx_3",35143.2034321895,78834.7893599819,0,0
"DNA-PKcs_CRISPRa_4_ATM_CasRx_3",0,55477.5498395761,1566.60409838793,0
"XLF_CRISPRa_1_ATM_CasRx_3",43557.9921381504,0,69881.3909631212,0
"BRCA2_CRISPRa_5_ATM_CasRx_4",38270.5833529182,26202.8347721495,0,0
"EXO1_CRISPRa_4_ATM_CasRx_4",22157.7781091635,0,21343.4652866726,0
"XRCC1_CRISPRa_2_ATM_CasRx_4",79021.7034504145,58931.4382190976,0,0
"DNA-PKcs_CRISPRa_3_ATM_CasRx_4",19589.830124565,0,0,18929.3361151273
"BRCA1_CRISPRa_5_ATM_CasRx_5",15727.2245516649,50352.0719449218,0,0
"RAD50_CRISPRa_2_ATM_CasRx_5",33029.793895697,27397.5224751048,0,0
"PALB2_CRISPRa_5_ATM_CasRx_5",0,13927.4794535968,48955.8994786661,0
"XRCC1_CRISPRa_3_ATM_CasRx_5",16923.7873039438,60266.0333414417,0,0
"XRCC4_CRISPRa_1_ATM_CasRx_5",56826.0471372422,29823.395468682,0,622.632987242977
"XLF_CRISPRa_3_ATM_CasRx_5",12175.4144988373,0,78557.3784668614,0
"BRCA2_CRISPRa_3_RAD51_CasRx_1",17894.0520681699,24154.1035177945,0,57402.3272422909
"POLQ_CRISPRa_3_RAD51_CasRx_1",20387.2148807509,0,33563.6153820408,0
"EXO1_CRISPRa_5_RAD51_CasRx_1",0,53021.26218961,108170.343758018,0
"MRE11_CRISPRa_2_RAD51_CasRx_1",0,22072.5244345394,0,10346.4235268863
"NBN_CRISPRa_1_RAD51_CasRx_1",11558.6796386935,42231.3586890903,0,0
"NBN_CRISPRa_2_RAD51_CasRx_1",0,0,41191.7968044967,1368.12975386773
"KU70_CRISPRa_1_RAD51_CasRx_1",0,15201.2452631632,0,11418.0173921709
"XRCC4_CRISPRa_2_RAD51_CasRx_1",0,33606.9787234589,885.083455993508,0
"LIG4_CRISPRa_3_RAD51_CasRx_1",30178.2449990325,56854.7254808647,0,0
"CtIP_CRISPRa_1_RAD51_CasRx_2",22781.3116213088,67212.7408606623,0,0
"ATM_CRISPRa_5_RAD51_CasRx_2",1485.99108034628,192.220628377734,509.226097968868,0
"BRCA1_CRISPRa_3_RAD51_CasRx_2",0,17752.4266410626,98673.7237204586,0
"BRCA1_CRISPRa_4_RAD51_CasRx_2",34720.715772091,0,5190.53268280547,0
"POLQ_CRISPRa_2_RAD51_CasRx_2",32747.1642196311,21239.162849484,0,0
"NBN_CRISPRa_3_RAD51_CasRx_2",15887.4784917023,87.5942103999799,0,0
"DNA-PKcs_CRISPRa_3_RAD51_CasRx_2",17051.9904559736,45990.6102187561,0,0
"POLQ_CRISPRa_4_RAD51_CasRx_3",0,1012.19976462199,4261.4183987921,0
"PALB2_CRISPRa_3_RAD51_CasRx_3",0,22308.5421681171,1223.92939336377,0
"DNA-PKcs_CRISPRa_2_RAD51_CasRx_3",0,2053.59759937731,3112.78810262172,0
