"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgRNA"
10860.799122525,-0.561378275394972,4.32286497712845,-0.129862551424837,0.896675172966987,0.99985898606518,"ATM_CRISPRa_1_CtIP_CasRx_1"
28412.604072862,0.56050083637417,4.28388609174,0.13083934174975,0.895902400278334,0.99985898606518,"ATM_CRISPRa_3_CtIP_CasRx_1"
18093.9147808619,2.464697976178,4.56214993297155,0.540249227313891,0.589025167869877,0.99985898606518,"ATM_CRISPRa_4_CtIP_CasRx_1"
33957.0167145272,-0.985567673499698,4.26578876373197,-0.231039961912569,0.817283756638976,0.99985898606518,"RAD51_CRISPRa_3_CtIP_CasRx_1"
37287.7434305997,10.9562265817233,4.0103219588088,2.73200673019721,0.0062949855054922,0.0266180206072752,"BRCA1_CRISPRa_5_CtIP_CasRx_1"
5753.04558076715,0.170021130557852,4.46755626083123,0.0380568527023358,0.969642352924542,0.99985898606518,"BRCA2_CRISPRa_2_CtIP_CasRx_1"
11941.1825780335,-1.0061931823944,4.56210870703921,-0.220554407404162,0.825439404402225,0.99985898606518,"POLQ_CRISPRa_1_CtIP_CasRx_1"
26806.3462052982,-8.86173604400939,4.21652215338552,-2.10166950905123,0.0355822363167352,0.12511173414594,"POLQ_CRISPRa_4_CtIP_CasRx_1"
13419.7732397983,5.51039546507135,4.56226610279754,1.20781982920558,0.227116572452974,0.552856966690739,"POLD3_CRISPRa_5_CtIP_CasRx_1"
19374.2967676239,-17.5871691977619,4.23559824696852,-4.15222789610638,3.29254130639641e-05,0.000343827158781553,"EXO1_CRISPRa_3_CtIP_CasRx_1"
22789.2783771558,0.582628723199749,4.22605309207207,0.137865926079523,0.890346380252044,0.99985898606518,"MRE11_CRISPRa_4_CtIP_CasRx_1"
32672.7638781968,8.34558091390637,4.22281167954881,1.97630904411964,0.0481197859061435,0.158407751590358,"RAD50_CRISPRa_2_CtIP_CasRx_1"
17226.1606374651,-0.0146522675012621,4.21392197598709,-0.0034771093496172,0.99722567372412,0.99985898606518,"PALB2_CRISPRa_4_CtIP_CasRx_1"
39.6064332758375,-0.255074685939715,4.56779002991862,-0.0558420339527426,0.955467648915345,0.99985898606518,"PALB2_CRISPRa_5_CtIP_CasRx_1"
35526.7069186846,-2.51582063255001,4.28984653262194,-0.586459355461452,0.557566867184586,0.99985898606518,"NBN_CRISPRa_1_CtIP_CasRx_1"
51795.3554859583,-0.933165662980265,3.01703986562707,-0.309298419822608,0.75709453288066,0.99985898606518,"NBN_CRISPRa_5_CtIP_CasRx_1"
27295.134231115,-18.0445033365345,4.30447517214761,-4.19203331762549,2.76465381634864e-05,0.000343827158781553,"DNA-PKcs_CRISPRa_3_CtIP_CasRx_1"
9267.38931499001,7.3804567170426,4.56430381915032,1.6169950576201,0.105879347764606,0.311914835306542,"DNA-PKcs_CRISPRa_4_CtIP_CasRx_1"
14651.9565588592,1.19506680565535,4.24174162517056,0.281739651129104,0.778143148333449,0.99985898606518,"XLF_CRISPRa_5_CtIP_CasRx_1"
18314.9228481704,17.9185144071362,4.23747161165223,4.22858630081762,2.35164310147993e-05,0.000343827158781553,"LIG4_CRISPRa_3_CtIP_CasRx_1"
49045.1275363211,-0.000679504154722451,3.84476805022121,-0.000176734758988479,0.99985898606518,0.99985898606518,"53BP1_CRISPRa_3_CtIP_CasRx_1"
12516.9890346064,7.13039205516755,4.56257596125493,1.56279963681007,0.11809972966091,0.342915080301035,"53BP1_CRISPRa_4_CtIP_CasRx_1"
22322.4160369857,-11.6379361123148,4.04950567846408,-2.87391524704046,0.00405417740428533,0.0175980001486899,"NT_CRISPRa_1_CtIP_CasRx_1"
17367.3364273947,4.86218161375548,4.5622270417618,1.06574740126871,0.286537843752468,0.656760805423297,"NT_CRISPRa_5_CtIP_CasRx_1"
